Raw Data 		Experiment - wj-qpcr (Run on LCS480 1.5.1.62)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510	
A2	Sample 2	3	3	1	7148280	67.33	0.10
A2	Sample 2	3	3	1	7149510	67.51	0.10
A2	Sample 2	3	3	1	7150740	67.69	0.10
A2	Sample 2	3	3	1	7151970	67.89	0.10
A2	Sample 2	3	3	1	7153210	68.13	0.10
A2	Sample 2	3	3	1	7154450	68.31	0.10
A2	Sample 2	3	3	1	7155690	68.52	0.10
A2	Sample 2	3	3	1	7156920	68.69	0.10
A2	Sample 2	3	3	1	7158160	68.92	0.10
A2	Sample 2	3	3	1	7159380	69.14	0.10
A2	Sample 2	3	3	1	7160620	69.34	0.10
A2	Sample 2	3	3	1	7161860	69.52	0.10
A2	Sample 2	3	3	1	7163100	69.72	0.10
A2	Sample 2	3	3	1	7164340	69.92	0.09
A2	Sample 2	3	3	1	7165570	70.13	0.09
A2	Sample 2	3	3	1	7166810	70.34	0.10
A2	Sample 2	3	3	1	7168050	70.51	0.10
A2	Sample 2	3	3	1	7169290	70.75	0.09
A2	Sample 2	3	3	1	7170540	70.93	0.10
A2	Sample 2	3	3	1	7171780	71.16	0.10
A2	Sample 2	3	3	1	7173010	71.33	0.10
A2	Sample 2	3	3	1	7174240	71.54	0.09
A2	Sample 2	3	3	1	7175490	71.74	0.10
A2	Sample 2	3	3	1	7176730	71.95	0.09
A2	Sample 2	3	3	1	7177960	72.13	0.09
A2	Sample 2	3	3	1	7179190	72.35	0.10
A2	Sample 2	3	3	1	7180440	72.53	0.10
A2	Sample 2	3	3	1	7181680	72.76	0.10
A2	Sample 2	3	3	1	7182900	72.94	0.09
A2	Sample 2	3	3	1	7184130	73.14	0.08
A2	Sample 2	3	3	1	7185370	73.35	0.10
A2	Sample 2	3	3	1	7186600	73.55	0.10
A2	Sample 2	3	3	1	7187840	73.75	0.09
A2	Sample 2	3	3	1	7189090	73.95	0.10
A2	Sample 2	3	3	1	7190330	74.15	0.09
A2	Sample 2	3	3	1	7191560	74.33	0.10
A2	Sample 2	3	3	1	7192800	74.57	0.10
A2	Sample 2	3	3	1	7194040	74.74	0.09
A2	Sample 2	3	3	1	7195280	74.97	0.09
A2	Sample 2	3	3	1	7196510	75.15	0.10
A2	Sample 2	3	3	1	7197750	75.35	0.09
A2	Sample 2	3	3	1	7198990	75.56	0.08
A2	Sample 2	3	3	1	7200220	75.76	0.10
A2	Sample 2	3	3	1	7201460	75.96	0.09
A2	Sample 2	3	3	1	7202700	76.17	0.08
A2	Sample 2	3	3	1	7203930	76.37	0.10
A2	Sample 2	3	3	1	7205160	76.54	0.10
A2	Sample 2	3	3	1	7206400	76.77	0.09
